Spell,Publisher,Source,Concentration,Ritual,Rare Spell Count,Spell Level,Artificer,Bard,Cleric,Druid,Elementalist,Herald,Sorcerer,Warlock,Wielder,Witch,Wizard,Classical School,acid,affliction,air,arcane,architecture,attack,beasts,chaos,cold,communication,compulsion,control,displacement,divine,earth,enhancement,evil,fear,fire,force,good,healing,knowledge,law,lightning,movement,nature,necrotic,negation,object,obscurement,planar,plants,poison,prismatic,protection,psionic,psychic,radiant,scrying,senses,shadow,shapechanging,sound,storm,summoning,technological,telepathy,teleportation,terrain,thunder,time,transformation,travel,unarmed,undead,utility,water,weaponry,weather,Multiclass
Animate Dead,EN Publishing,Adventurer's Guide,0,0,1,3,0,0,1,0,0,0,0,0,0,1,1,Necromancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Animate Objects,EN Publishing,Adventurer's Guide,1,0,0,5,1,1,0,0,0,0,1,0,0,1,1,Transmutation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Animate Painting,EN Publishing,Gate Pass Gazette #14,1,0,0,6,0,1,0,0,0,0,1,1,0,0,0,Transmutation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Antilife Shell,EN Publishing,Adventurer's Guide,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,Abjuration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Antimagic Field,EN Publishing,Adventurer's Guide,1,0,2,8,0,0,1,0,0,0,0,0,0,1,1,Abjuration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antimagic Zone,EN Publishing,Dungeon Delver's Guide,0,0,0,9,0,0,1,0,0,0,0,0,0,0,1,Abjuration,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antipathy/Sympathy,EN Publishing,Adventurer's Guide,0,0,1,8,0,0,0,1,0,0,0,0,0,1,1,Enchantment,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Eye,EN Publishing,Adventurer's Guide,1,0,1,4,1,0,0,0,0,0,0,0,0,1,1,Divination,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Hand,EN Publishing,Adventurer's Guide,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,Evocation,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Lock,EN Publishing,Adventurer's Guide,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,Abjuration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Mirror,EN Publishing,Dungeon Delver's Guide,1,0,0,4,0,1,1,0,0,0,0,1,0,0,1,Divination,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Arcane Muscles,EN Publishing,Adventurer's Guide,0,0,2,0,1,0,1,0,0,1,1,0,0,0,1,Transmutation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Arcane Prowess,Purple Martin Games,"Manual of Adventurous Resources, Vol.4: Battlemages",1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Transmutation,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Fighter
Arcane Riposte,EN Publishing,Adventurer's Guide,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,Evocation,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Sword,EN Publishing,Adventurer's Guide,1,0,1,7,0,1,0,0,0,0,0,0,0,0,1,Evocation,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Arcanist’s Magic Aura,EN Publishing,Adventurer's Guide,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,Illusion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcing Blow,Purple Martin Games,"Manual of Adventurous Resources, Vol.4: Battlemages",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,Evocation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aspect of the Moon,EN Publishing,Adventurer's Guide,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,Transmutation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Astral Projection,EN Publishing,Adventurer's Guide,0,0,1,9,0,0,1,0,0,0,0,1,0,1,1,Necromancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Augury,EN Publishing,Adventurer's Guide,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,Divination,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awaken,EN Publishing,Adventurer's Guide,0,0,2,5,0,1,0,1,0,0,0,0,0,1,0,Transmutation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awaken Portal,EN Publishing,Dungeon Delver's Guide,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,Transmutation,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babel Tongue,Purple Martin Games,Spells of the Forgotten Vault,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,Enchantment,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bane,EN Publishing,Adventurer's Guide,1,0,2,1,0,1,1,0,0,0,0,0,0,1,0,Enchantment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banishment,EN Publishing,Adventurer's Guide,1,0,1,4,0,0,1,0,0,1,1,1,0,1,1,Abjuration,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barkskin,EN Publishing,Adventurer's Guide,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,Transmutation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Battering Winds,Josh Gentry,Hymn of the Hinterlands: The Harpy Heritage,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Evocation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle of Wits,Purple Martin Games,Spells of the Forgotten Vault,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,Enchantment,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Stilts,Purple Martin Games,Spells of the Forgotten Vault,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Conjuration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Battlecry Ballad,EN Publishing,Adventurer's Guide,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,Abjuration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Be Ye Not Afraid,Purple Martin Games,Spells of the Forgotten Vault,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,Transmutation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Beacon of Hope,EN Publishing,Adventurer's Guide,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,Abjuration,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beau Monde,Purple Martin Games,Spells of the Forgotten Vault,0,0,1,3,0,1,0,0,0,1,1,1,0,0,0,Enchantment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beautify Creature,EN Publishing,Gate Pass Gazette #10,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,Transmutation,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Best Served Cold,Purple Martin Games,"Manual of Adventurous Resources, Vol.4: Battlemages",1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,Evocation,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Berserker
Bestow Curse,EN Publishing,Adventurer's Guide,1,0,1,3,0,1,1,0,0,0,0,0,0,1,1,Necromancy,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bestow Lesser Curse,Purple Martin Games,"Manual of Adventurous Resources, Vol.3: Light and Dark",1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,Necromancy,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biting Arrow,Ravine,The Errant Seer,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,Evocation,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Black Tentacles,EN Publishing,Adventurer's Guide,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,Conjuration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blade Barrier,EN Publishing,Adventurer's Guide,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,Evocation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bless,EN Publishing,Adventurer's Guide,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,Enchantment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blight,EN Publishing,Adventurer's Guide,0,0,0,4,0,0,0,1,0,0,1,1,0,1,1,Necromancy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blindness/Deafness,EN Publishing,Adventurer's Guide,0,0,0,2,0,1,1,0,0,0,1,0,0,1,1,Necromancy,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blink,EN Publishing,Adventurer's Guide,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,Transmutation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blood-Writ Bargain,EN Publishing,Adventurer's Guide,0,1,0,3,0,0,1,0,0,1,0,1,0,1,1,Conjuration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blur,EN Publishing,Adventurer's Guide,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,Illusion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolstering Effort,Purple Martin Games,"Manual of Adventurous Resources, Vol.4: Battlemages",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,Evocation,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fighter
Bone Armour,Ace's Adventuring Guides,Ace's Adventuring Guide to Necromancy: A Supplement,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,Abjuration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bone Shake,Ace's Adventuring Guides,Ace's Adventuring Guide to Necromancy: A Supplement,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Necromancy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone Spear,Ace's Adventuring Guides,Ace's Adventuring Guide to Necromancy: A Supplement,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,Necromancy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Born to the Saddle,Purple Martin Games,Spells of the Forgotten Vault,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,Transmutation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bothersome Buzzing,Purple Martin Games,Spells of the Forgotten Vault,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,Illusion,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breacher's Kick,Purple Martin Games,Spells of the Forgotten Vault,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,Evocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
